Path: /HepData/8832/d4-x1-y1
Charged pions v2 as a function of pT for centrality: 20-30%
Location: Figure 4
ABS(Y(RF=LAB)) : <0.5
Centrality : 20-30%
Particle : Charged pions
Range : 0.2 < pT < 6.0 (GeV/c)
SQRT(S)/NUCLEON : 2760.0 GeV
x : pT IN (GeV/c)
y : v2
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	0.175254	0.175254	0.175254	0.021812	+1.39E-4	-1.39E-4	-0.002049	+0.002049
	0.251417	0.251417	0.251417	0.029577	+1.13E-4	-1.13E-4	-0.00209	+0.00209
	0.34884	0.34884	0.34884	0.044564	+1.13E-4	-1.13E-4	-0.0022	+0.0022
	0.448343	0.448343	0.448343	0.059466	+1.39E-4	-1.39E-4	-0.00242	+0.00242
	0.548119	0.548119	0.548119	0.073633	+1.89E-4	-1.89E-4	-0.002616	+0.002616
	0.648014	0.648014	0.648014	0.086204	+2.17E-4	-2.17E-4	-0.002812	+0.002812
	0.746912	0.746912	0.746912	0.098914	+2.3E-4	-2.3E-4	-0.003023	+0.003023
	0.847053	0.847053	0.847053	0.110463	+2.65E-4	-2.65E-4	-0.003227	+0.003227
	0.947385	0.947385	0.947385	0.121327	+2.84E-4	-2.84E-4	-0.003426	+0.003426
	1.04784	1.04784	1.04784	0.131663	+3.33E-4	-3.33E-4	-0.003621	+0.003621
	1.1481	1.1481	1.1481	0.141019	+3.58E-4	-3.58E-4	-0.003801	+0.003801
	1.24807	1.24807	1.24807	0.150255	+4.2E-4	-4.2E-4	-0.003976	+0.003976
	1.34808	1.34808	1.34808	0.157982	+4.52E-4	-4.52E-4	-0.00413	+0.00413
	1.4482	1.4482	1.4482	0.165266	+5.33E-4	-5.33E-4	-0.004276	+0.004276
	1.5482	1.5482	1.5482	0.171658	+5.75E-4	-5.75E-4	-0.004406	+0.004406
	1.64827	1.64827	1.64827	0.177579	+6.82E-4	-6.82E-4	-0.004535	+0.004535
	1.74812	1.74812	1.74812	0.18221	+7.36E-4	-7.36E-4	-0.00463	+0.00463
	1.84834	1.84834	1.84834	0.186519	+8.73E-4	-8.73E-4	-0.004729	+0.004729
	1.94851	1.94851	1.94851	0.1908	+9.43E-4	-9.43E-4	-0.004818	+0.004818
	2.0484	2.0484	2.0484	0.194216	+0.001117	-0.001117	-0.004885	+0.004885
	2.14832	2.14832	2.14832	0.195703	+0.001204	-0.001204	-0.004916	+0.004916
	2.24812	2.24812	2.24812	0.20008	+0.001423	-0.001423	-0.004997	+0.004997
	2.34831	2.34831	2.34831	0.200025	+0.001529	-0.001529	-0.005235	+0.005235
	2.44831	2.44831	2.44831	0.200678	+0.001786	-0.001786	-0.005288	+0.005288
	2.54837	2.54837	2.54837	0.201488	+0.001915	-0.001915	-0.005466	+0.005466
	2.64836	2.64836	2.64836	0.20075	+0.002222	-0.002222	-0.006433	+0.006433
	2.7482	2.7482	2.7482	0.200958	+0.002366	-0.002366	-0.00806	+0.00806
	2.84834	2.84834	2.84834	0.198555	+0.002736	-0.002736	-0.010014	+0.010014
	2.9484	2.9484	2.9484	0.197267	+0.00291	-0.00291	-0.012057	+0.012057
	3.09398	3.09398	3.09398	0.198012	+0.002144	-0.002144	-0.013047	+0.013047
	3.29411	3.29411	3.29411	0.191134	+0.002557	-0.002557	-0.012818	+0.012818
	3.49464	3.49464	3.49464	0.185846	+0.003069	-0.003069	-0.012427	+0.012427
	3.69467	3.69467	3.69467	0.18117	+0.003592	-0.003592	-0.012025	+0.012025
	3.89482	3.89482	3.89482	0.174149	+0.004168	-0.004168	-0.011915	+0.011915
	4.18205	4.18205	4.18205	0.161276	+0.003667	-0.003667	-0.010955	+0.010955
	4.58358	4.58358	4.58358	0.148739	+0.004734	-0.004734	-0.010299	+0.010299
	4.98566	4.98566	4.98566	0.137696	+0.005986	-0.005986	-0.009683	+0.009683
	5.38705	5.38705	5.38705	0.138173	+0.007437	-0.007437	-0.00968	+0.00968
	5.78859	5.78859	5.78859	0.098252	+0.0089	-0.0089	-0.00825	+0.00825

