Path: /HepData/8832/d18-x1-y1
K0s v2 as a function of pT for centrality: 20-30%
Location: Figure 4
ABS(Y(RF=LAB)) : <0.5
Centrality : 20-30%
Particle : K0s
Range : 0.4 < pT < 6.0 (GeV/c)
SQRT(S)/NUCLEON : 2760.0 GeV
x : pT IN (GeV/c)
y : v2
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	0.529213	0.529213	0.529213	0.032071	+0.002901	-0.002901	-0.005	+0.001
	0.712539	0.712539	0.712539	0.055994	+0.001517	-0.001517	-0.003	+0.001
	0.903805	0.903805	0.903805	0.081286	+0.001182	-0.001182	-0.001	+0.001
	1.09956	1.09956	1.09956	0.103242	+0.001137	-0.001137	-0.001	+0.001
	1.2972	1.2972	1.2972	0.125408	+0.001182	-0.001182	-0.001	+0.001
	1.49578	1.49578	1.49578	0.14581	+0.0013	-0.0013	-0.001	+0.001
	1.69485	1.69485	1.69485	0.156335	+0.001515	-0.001515	-0.001	+0.001
	1.89444	1.89444	1.89444	0.171707	+0.001766	-0.001766	-0.001	+0.001
	2.09433	2.09433	2.09433	0.181677	+0.002107	-0.002107	-0.001	+0.001
	2.29391	2.29391	2.29391	0.185145	+0.002555	-0.002555	-0.001	+0.001
	2.57591	2.57591	2.57591	0.190686	+0.002367	-0.002367	-0.001	+0.001
	2.9765	2.9765	2.9765	0.200298	+0.003346	-0.003346	-0.001	+0.001
	3.37804	3.37804	3.37804	0.192614	+0.004709	-0.004709	-0.001	+0.001
	3.77947	3.77947	3.77947	0.175371	+0.006688	-0.006688	-0.001	+0.001
	4.39243	4.39243	4.39243	0.157875	+0.006628	-0.006628	-0.001	+0.001
	5.41024	5.41024	5.41024	0.141426	+0.011398	-0.011398	-0.001	+0.001
	6.74524	6.74524	6.74524	0.107298	+0.014214	-0.014214	-0.001	+0.001
	8.8078	8.8078	8.8078	0.138878	+0.028313	-0.028313	-0.001	+0.001
	10.7993	10.7993	10.7993	0.055013	+0.049122	-0.049122	-0.001	+0.001

