Path: /HepData/8832/d64-x1-y1
Average kaons v2 as a function of pT for centrality: 40-60%
Location: Figure 12
ABS(Y(RF=LAB)) : <0.5
Centrality : 40-60%
Particle : Average kaons
Range : 0.3 < pT < 6.0 (GeV/c)
SQRT(S)/NUCLEON : 2760.0 GeV
x : pT IN (GeV/c)
y : v2
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	0.528011	0.528011	0.528011	0.0507868	+0.00145071	-0.00145071	-0.00552153	+0.00299636
	0.711071	0.711071	0.711071	0.0814503	+0.00137595	-0.00137595	-0.00311477	+0.00330553
	0.902911	0.902911	0.902911	0.11251	+0.00151854	-0.00151854	-0.00115715	+0.00212655
	1.09871	1.09871	1.09871	0.139259	+0.0015807	-0.0015807	-0.00101964	+0.0013246
	1.29689	1.29689	1.29689	0.156797	+0.00171901	-0.00171901	-0.00180999	+0.00767782
	1.49544	1.49544	1.49544	0.179977	+0.00191473	-0.00191473	-0.0012571	+0.00339487
	1.69467	1.69467	1.69467	0.19314	+0.00215123	-0.00215123	-0.00138757	+0.00350139
	1.89468	1.89468	1.89468	0.20182	+0.00246607	-0.00246607	-0.00167989	+0.00389696
	2.09463	2.09463	2.09463	0.21069	+0.00278951	-0.00278951	-0.0018938	+0.0038159
	2.29403	2.29403	2.29403	0.208029	+0.00321786	-0.00321786	-0.00501351	+0.0122971
	2.57799	2.57799	2.57799	0.214972	+0.00320383	-0.00320383	-0.00170465	+0.00405428
	2.97807	2.97807	2.97807	0.210646	+0.00481801	-0.00481801	-0.00190898	+0.00768706
	3.37916	3.37916	3.37916	0.200971	+0.00629045	-0.00629045	-0.0030261	+0.00782726
	3.78373	3.78373	3.78373	0.188897	+0.00815834	-0.00815834	-0.00480475	+0.0148789
	4.41166	4.41166	4.41166	0.174061	+0.0094121	-0.0094121	-7.65818E-4	+7.65818E-4
	5.41607	5.41607	5.41607	0.133271	+0.0158041	-0.0158041	-7.61825E-4	+7.61825E-4
	6.7465	6.7465	6.7465	0.127452	+0.0206006	-0.0206006	-7.60273E-4	+7.60273E-4
	8.80614	8.80614	8.80614	0.169486	+0.040909	-0.040909	-7.65976E-4	+7.65976E-4
	10.7636	10.7636	10.7636	0.061738	+0.0739962	-0.0739962	-7.60832E-4	+7.60832E-4

