Path: /HepData/8832/d20-x1-y1
K0s v2 as a function of pT for centrality: 40-50%
Location: Figure 4
ABS(Y(RF=LAB)) : <0.5
Centrality : 40-50%
Particle : K0s
Range : 0.4 < pT < 6.0 (GeV/c)
SQRT(S)/NUCLEON : 2760.0 GeV
x : pT IN (GeV/c)
y : v2
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	0.528672	0.528672	0.528672	0.046226	+0.005105	-0.005105	-0.005	+0.001
	0.711525	0.711525	0.711525	0.076519	+0.002872	-0.002872	-0.003	+0.001
	0.903068	0.903068	0.903068	0.110086	+0.002256	-0.002256	-0.001	+0.001
	1.09913	1.09913	1.09913	0.139338	+0.002235	-0.002235	-0.001	+0.001
	1.29679	1.29679	1.29679	0.156262	+0.002378	-0.002378	-0.001	+0.001
	1.49562	1.49562	1.49562	0.178617	+0.002646	-0.002646	-0.001	+0.001
	1.69496	1.69496	1.69496	0.191999	+0.003009	-0.003009	-0.001	+0.001
	1.89471	1.89471	1.89471	0.201704	+0.00355	-0.00355	-0.001	+0.001
	2.0944	2.0944	2.0944	0.210549	+0.004152	-0.004152	-0.001	+0.001
	2.29374	2.29374	2.29374	0.20962	+0.00498	-0.00498	-0.001	+0.001
	2.578	2.578	2.578	0.215997	+0.004496	-0.004496	-0.001	+0.001
	2.97972	2.97972	2.97972	0.212503	+0.006282	-0.006282	-0.001	+0.001
	3.37781	3.37781	3.37781	0.204907	+0.008785	-0.008785	-0.001	+0.001
	3.77938	3.77938	3.77938	0.195837	+0.011443	-0.011443	-0.001	+0.001
	4.39831	4.39831	4.39831	0.18511	+0.011158	-0.011158	-0.001	+0.001
	5.41445	5.41445	5.41445	0.144155	+0.018866	-0.018866	-0.001	+0.001
	6.73471	6.73471	6.73471	0.137872	+0.024603	-0.024603	-0.001	+0.001
	8.77773	8.77773	8.77773	0.18563	+0.048125	-0.048125	-0.001	+0.001
	10.8014	10.8014	10.8014	0.043202	+0.089393	-0.089393	-0.001	+0.001

