Path: /HepData/8832/d14-x1-y1
Charged kaons v2 as a function of pT for centrality: 50-60%
Location: Figure 4
ABS(Y(RF=LAB)) : <0.5
Centrality : 50-60%
Particle : Charged kaons
Range : 0.3 < pT < 4.0 (GeV/c)
SQRT(S)/NUCLEON : 2760.0 GeV
x : pT IN (GeV/c)
y : v2
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	0.350579	0.350579	0.350579	0.024263	+0.001505	-0.001505	-0.002066	+0.002066
	0.442756	0.442756	0.442756	0.046289	+0.003009	-0.003009	-0.003191	+0.003191
	0.553358	0.553358	0.553358	0.056833	+0.002323	-0.002323	-0.003071	+0.003071
	0.64696	0.64696	0.64696	0.077512	+0.001826	-0.001826	-0.003243	+0.003243
	0.747896	0.747896	0.747896	0.09395	+0.001759	-0.001759	-0.003397	+0.003397
	0.84931	0.84931	0.84931	0.108295	+0.001733	-0.001733	-0.003521	+0.003521
	0.949331	0.949331	0.949331	0.1225	+0.001773	-0.001773	-0.003687	+0.003687
	1.04912	1.04912	1.04912	0.136092	+0.001872	-0.001872	-0.003903	+0.003903
	1.14892	1.14892	1.14892	0.146331	+0.001953	-0.001953	-0.004058	+0.004058
	1.24892	1.24892	1.24892	0.159944	+0.002115	-0.002115	-0.00429	+0.00429
	1.34883	1.34883	1.34883	0.16911	+0.002232	-0.002232	-0.004489	+0.004489
	1.44859	1.44859	1.44859	0.176631	+0.002473	-0.002473	-0.004566	+0.004566
	1.5485	1.5485	1.5485	0.188424	+0.002651	-0.002651	-0.004821	+0.004821
	1.6482	1.6482	1.6482	0.191077	+0.00299	-0.00299	-0.004819	+0.004819
	1.74804	1.74804	1.74804	0.196593	+0.003228	-0.003228	-0.004936	+0.004936
	1.84814	1.84814	1.84814	0.199771	+0.003678	-0.003678	-0.004975	+0.004975
	1.94804	1.94804	1.94804	0.200886	+0.004008	-0.004008	-0.005077	+0.005077
	2.04798	2.04798	2.04798	0.206583	+0.00459	-0.00459	-0.005126	+0.005126
	2.14829	2.14829	2.14829	0.207214	+0.005024	-0.005024	-0.0052	+0.0052
	2.24823	2.24823	2.24823	0.216756	+0.005762	-0.005762	-0.005347	+0.005347
	2.34829	2.34829	2.34829	0.208904	+0.006301	-0.006301	-0.005332	+0.005332
	2.44795	2.44795	2.44795	0.21105	+0.007242	-0.007242	-0.005174	+0.005174
	2.5482	2.5482	2.5482	0.204438	+0.007893	-0.007893	-0.005396	+0.005396
	2.64826	2.64826	2.64826	0.227429	+0.009163	-0.009163	-0.006966	+0.006966
	2.74826	2.74826	2.74826	0.210333	+0.010007	-0.010007	-0.00828	+0.00828
	2.84828	2.84828	2.84828	0.208867	+0.011426	-0.011426	-0.010194	+0.010194
	2.94811	2.94811	2.94811	0.206849	+0.01259	-0.01259	-0.012389	+0.012389
	3.09296	3.09296	3.09296	0.19088	+0.009953	-0.009953	-0.013069	+0.013069
	3.29361	3.29361	3.29361	0.204478	+0.01234	-0.01234	-0.013573	+0.013573
	3.49371	3.49371	3.49371	0.184299	+0.015306	-0.015306	-0.013153	+0.013153
	3.69362	3.69362	3.69362	0.204161	+0.019428	-0.019428	-0.013976	+0.013976
	3.892	3.892	3.892	0.161256	+0.025151	-0.025151	-0.011084	+0.011084

